2026-03-26 08:52:56 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 5条
2026-03-26 08:52:56 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 3条
2026-03-26 08:52:57 | INFO     | app.services.stock_service:get_intraday_data:505 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:52:57 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
2026-03-26 08:53:40 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
2026-03-26 08:53:43 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
2026-03-26 08:53:46 | INFO     | app.services.stock_service:get_stock_list:201 - 从pytdx获取股票列表成功: 5196条
2026-03-26 08:53:46 | INFO     | app.services.screening_engine:screen_stocks:53 - 获取到 5196 只股票
2026-03-26 08:53:46 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 exclude_st, 剩余 5017 只
2026-03-26 08:53:46 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 market_cap, 剩余 5017 只
2026-03-26 08:53:46 | INFO     | app.services.stock_service:get_intraday_data:505 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:53:49 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:53:50 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:53:52 | INFO     | app.services.stock_service:get_intraday_data:505 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:54:13 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
2026-03-26 08:54:44 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
2026-03-26 08:54:50 | INFO     | app.services.stock_service:get_stock_list:201 - 从pytdx获取股票列表成功: 5196条
2026-03-26 08:54:50 | INFO     | app.services.screening_engine:screen_stocks:53 - 获取到 5196 只股票
2026-03-26 08:54:50 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 exclude_st, 剩余 5017 只
2026-03-26 08:54:50 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 market_cap, 剩余 5017 只
2026-03-26 08:54:51 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
2026-03-26 08:54:51 | INFO     | app.services.stock_service:get_intraday_data:505 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:54:52 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:54:54 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:55:18 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
